command,_shortcut,magic type,star
open project,Ctrl + O,restoration,2
save project,Ctrl + S,restoration,3
quick save,9,restoration,2
undo,Ctrl + Z,time,3
redo,Shift + Ctrl + Z,time,3
tools,F1,general,3
brush,F2,general,0
strokes,F3,general,
alphas,F4,general,
textures,F5,2d,
materials,F6,2d,
flat color,F6,2d,
quick menu,_rclick,general,0
quick menu,_space,general,3
description,Ctrl,general,
alternate description,Ctrl + Alt,general,
toggle floating pallete,Tab,general,
Projection Master,G,general,
Light Box,",",light box,
toggle edit mode,T,3d model,
clear canvas,Ctrl + N,3d model,
save tool,Shift + Ctrl + T,3d model,
fit mesh to view,F,teleport,
toggle perspective,P,3d model,
toggle floor grid,Shift + P,3d model,
toggle symmetry,X,3d model,
toggle polyframe and polygroup,Shift + F,3d model,
zoom in,_plus,teleport,
zoom out,-,teleport,
divide,Ctrl + D,subdivide,
lower resolution,Shift + d,subdivide,
higher resolution,D,subdivide,
draw size,S,sculpting,3
focal shift,O,sculpting,2
RGB intensity,I,painting,2
Z intensity,U,sculpting,2
draw,Q,sculpting,
move,W,transform,
scale,E,transform,
rotate,R,transform,
mask,Ctrl + _lclick,black mask,
erase mask,Ctrl + _lclick _on _canvas,white mask,
smooth,Shift + _lclick,sculpting,
select,Shift + Ctrl + _lclick _drag _on _object,sculpting,
select subtool,Alt + _lclick _tab _on _object,sculpting,
blur mask,Alt + _lclick _tap _on _object,white mask,
invert mask,Ctrl + _lclick _on _canvas,black mask,
Best-preview render (BPR),Shift + r,render,
increase brush size,],sculpting,
decrease brush size,[,sculpting,
rotate edited object,_lclick _drag _on _canvas,teleport,
rotate edited object,_rclick _drag,teleport,
move edited object,Alt + _rclick,teleport,
move edited object,Alt + _lclick _drag _on _canvas,teleport,
scale edited object,"alt _, _rclick _drag + _release alt _",teleport,2
scale edited object,"alt _, _lclick _drag _on _canvas + _release alt",teleport,1
sharpen mask,Alt + ctrl + _lclick _tap _on _object,teleport,
invert selection,Shift + Ctrl + _lclick _drag _on _canvas,green select,
mask all,Ctrl + a,black mask,
unselect all,Shift + Ctrl + _lclick _tap _on _canvas,green select,3
reduce selection,Shift + ctrl + alt + _lclick _on _object,red select,3
scale lightbox,"alt _, _rclick _drag _on _lightbox+ _release alt",lightbox,1
scale edited object,Ctrl + _rclick _drag,teleport,2
scale lightbox,_lclick _drag _on _lightbox _bottom,lightbox,3
slide lightbox,_lclick _drag _on _lightbox _side,lightbox,3
move submenu,Ctrl + alt + _lclick _drag _on _submenu,general,2
magnify,Shift + m,general,1
toggle edit zsketch,Shift + a,zsphere,3
toggle HD subdivision,a,subdivide,3
pick color,c,polypainting,2
toggle gizmo 3d,y,transform,3
switch color,v,display,2
straighten sketch,Shift + alt + _lclick,zsketch,3
